,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10 Years,-0.10770693541667267,-0.19081676440124412,-0.21362104221243167,0.10196907374146662,-0.16441387660538703,0.0720279147048697,-0.02188192622277185,-0.007624375744461989,-0.04200203962262324,0.33173031530912206,-0.12381382730732753,0.26769725585753446,-0.08522321938517502,0.22053728849884208,-0.1561425166869277,-0.03017582135578269,0.003543281418582972,-0.04541415714189445,-0.0744595213658076,-0.3925291676900064,0.15357071466253994,-0.11840022006425847,-0.06281201435217285,0.24417791870063535,0.09983081113011351,0.15099704058300198,-0.1108583507657931,0.06210464911270639,-0.16806640997772143,0.08719205990768776,-0.38230079039239967,-0.014565640985417513,0.1589499241293493,-0.18450519176627836,-0.016045585508167887,-0.12185055364660347,-0.049239920946099906,0.028764189949790964,-0.004868183116732042,-0.10734655548216339
100 gecs,0.05735177231543994,0.22288976910141806,0.16382868241374965,-0.09543151972753258,0.15487808429152822,-0.07216837531480279,0.04688126123898087,-0.016494143267340958,0.04361558662323642,-0.3418449046146063,0.15996929314039313,-0.31843097655206365,0.11101125589814023,-0.2290872560319565,0.1749101361829665,0.011377509620273393,-0.003876880343725815,0.028590309740694167,0.09118997627786052,0.36475029453190383,-0.21175726183522203,0.1639383029773484,0.04709975628269158,-0.1821530211337488,-0.10800283035123659,-0.09275624140641853,0.09846239374188344,-0.0031671578674115717,0.1462070295258214,-0.05972072117158493,0.37277848841003963,-0.024952065144073412,-0.15091346431282024,0.2028178182321555,0.03159891336961389,0.12431974732034268,0.020569381916097636,-0.03685334775643114,0.02932990022932367,0.10643523054804375
1927,0.03424327426194611,0.2306753273602838,0.04094731194466418,-0.06440972157801372,0.13350265716442478,-0.04845645728283843,0.08551809579944633,-0.06159572621829201,0.05546835256194849,-0.3322132886036107,0.1897810592144863,-0.3152616776653017,0.10951426473021282,-0.2384369627473276,0.1647703122878872,0.02136692321736454,-0.004758515748906193,0.040314281483540736,0.06628710540065558,0.3739111473892362,-0.1734989744999581,0.13056275811070112,0.07711477468588879,-0.24122813783601751,-0.09355976564356719,-0.13004826888796153,0.12731739931136482,-0.07658124464920753,0.17881200419197418,-0.06998185251880669,0.3689570562253852,-0.016180190386669825,-0.13730755097468603,0.19101631262604352,0.03063358944412159,0.11102111447112219,0.024285229439677623,-0.020681978237553893,0.012161741633763996,0.12369976179374198
2 Chainz,0.07878817475674287,0.21765637054834244,0.16881532141949263,-0.08468700390923546,0.15204921761626364,-0.06840110211156851,0.06383385934996819,-0.0336822438933275,0.059266666524288546,-0.3437050048013627,0.14884963402355522,-0.2965068096303824,0.07312717129474058,-0.2223208840961208,0.17670249954442746,0.020202580931873788,0.01876000265603441,0.049234808249557394,0.0734897572697309,0.4063812252128692,-0.20947537568806884,0.15650123334670263,0.058196841207269895,-0.1951273517867188,-0.0901103391229552,-0.11176868524645281,0.09379866952520818,-0.03566641873267136,0.13592447626092277,-0.06537244224152335,0.35716102222752016,-0.015197802735639235,-0.14393454233760852,0.19046215256711518,0.032136054485104606,0.13423643091527238,0.02273892389185691,-0.03546927549779954,0.02063907790487194,0.13033519401158195
20/20,0.06586515133290309,0.21823329851952641,0.09811875275904618,-0.07314315739374815,0.15902944949362327,-0.05990414012574557,0.05510925643511695,-0.04341660686800886,0.07455697971975984,-0.338556163595106,0.15487403401595198,-0.3235761035587832,0.11640947006628827,-0.24515803321538338,0.17837423223945686,-0.002434092535009791,0.02429629910543538,0.020774513358169613,0.08637753478122932,0.3668609920418205,-0.18189545880078134,0.11987485751750894,0.043891560235600806,-0.23454975252235954,-0.11074001361103301,-0.12769007476097335,0.12867860562579758,-0.056230926525241275,0.16842858820600753,-0.06336138513015986,0.3653426079169138,-0.008105324964786106,-0.15063791687848713,0.17599388711375666,-0.004842007423923751,0.130202037067872,0.0350660928399933,-0.016226500553670815,0.01995987274524497,0.1034581766458333
21 Savage,0.03354591454146846,0.2272532988671427,0.06410613662975648,-0.07364460869839538,0.1460900373549528,-0.05382188078996511,0.07644802516355739,-0.0363590381797979,0.05649779046252954,-0.3433654282147544,0.16626742929005492,-0.3236255891496706,0.11355220599287455,-0.2703073149183105,0.1798559662343932,0.02506831839506906,0.010832164807242455,0.0304399452895101,0.08275266112284131,0.37885531890691454,-0.20189792824427058,0.15649737567731478,0.06240749761157121,-0.22690730107727303,-0.10266453602719498,-0.09462788210447766,0.11688192254887098,-0.014484109924314011,0.13065284233834418,-0.038438096689021164,0.3507134179172002,-0.039615592954599835,-0.13259429798420586,0.19680451094359155,0.01773995505655361,0.11834088433555316,0.036248983456223766,-0.0023260182609163758,0.015805059134193812,0.11463757769488611
24hrs,0.058989225060375405,0.2085783236215777,0.1176192259000121,-0.07960708637040348,0.15922827346470883,-0.06475014023281209,0.06994690141945388,-0.023172457118602205,0.05831743172081743,-0.3331978107595357,0.16345902436773013,-0.3099255625188687,0.09135542609321026,-0.22680764115847957,0.16103492456395513,0.03094390135089197,0.01146933553473441,0.05672257611890843,0.06138860959067741,0.40935181736782794,-0.16586626224851087,0.10052529013208346,0.06678684984417435,-0.22240233167368478,-0.09124750222314215,-0.1621932151161634,0.12857164200927562,-0.07667533326997787,0.18354517319923755,-0.08074528244233733,0.36623210135026985,0.00884157820739569,-0.15242383190675923,0.1668405074347399,0.011791679894538562,0.11107256301019806,0.015473669803692216,-0.003085993710948292,0.025935284678828996,0.10884767062225348
24kGoldn,-0.09572509229682609,-0.19533880692286285,-0.1828954718133207,0.08897335860564223,-0.17156442345033215,0.06635018202309344,-0.04755177532324039,0.016693779054992773,-0.05160533657969606,0.3379674342458432,-0.15896337479781023,0.3132252706902492,-0.10033932273499153,0.24466153155764478,-0.165072652694849,-0.021173571706867136,-0.025024519797836806,-0.029801200257842973,-0.07923097064861073,-0.37758645784101025,0.16741157065979748,-0.13814672652955656,-0.06784387159716984,0.22921536645530127,0.11486677760834234,0.12092645413261291,-0.1037375574719457,0.04547562530863383,-0.17699253958071715,0.048145301537969636,-0.36505926328012106,0.013362658572519576,0.13228472317318365,-0.1709128876475784,0.005053795544210373,-0.119837251423916,-0.023305186888675476,0.03504570778183396,-0.025986430096996173,-0.10558375436357749
27CLUB,-0.066996541190531,-0.22171620416807852,-0.16124608702842366,0.09127263077075566,-0.16099041279548382,0.0696326079803564,-0.03079826156954214,0.016935563250642598,-0.059527991230700565,0.34637122209620563,-0.15156575716747106,0.26951998612304945,-0.08348570636252606,0.22266347564863956,-0.18242624295910995,-0.047392321590237145,0.010922630291096823,-0.03635024449632297,-0.09799836702264858,-0.3856373628888289,0.19181916516094966,-0.14932151134398652,-0.07247178008118316,0.21271150116884893,0.10032513203839798,0.10393727866684857,-0.10752451766124028,0.0265987739365121,-0.1571880956077229,0.055834241699410314,-0.379413331012141,0.004091082556375918,0.16938354947878825,-0.18658955378577596,-0.01975502413768052,-0.12617833237600004,-0.050769521569131816,0.01277241060659552,-0.02174770884587177,-0.10724190578909164
2KBABY,-0.0822392699114696,-0.21301068870262196,-0.19429423956665035,0.10168726632486998,-0.1735128847552441,0.08221274426530459,0.0010205859710833056,-0.005282992769708828,-0.05117780799628057,0.32703669053679624,-0.11996746200326887,0.2843656731552155,-0.09264059326811692,0.23362365548852576,-0.1754356557255333,-0.04475567175286891,0.03369539396475271,-0.05264091096373447,-0.09018301431121657,-0.37904115984791126,0.16698963697490693,-0.12370871578071771,-0.051320212570784396,0.25508725192916093,0.10611288288042484,0.134280336769573,-0.11887395928631862,0.05637708330696812,-0.16837011162480284,0.07676021359358104,-0.374121146723501,-0.004555247640873838,0.1484313156627832,-0.165247692981019,-0.013974153900084047,-0.1157116696775426,-0.03086767363602834,0.032944029562581696,-0.009636335376588208,-0.09808072663343446
2NE1,-0.1323428338203411,-0.18352850450366842,-0.2675701926264837,0.10628695985829702,-0.16698294232254712,0.07363925533212122,0.010838044600646435,-0.023456502734224862,-0.03497832921140956,0.32010111223352156,-0.09465980896559838,0.238940542844712,-0.05527598681535253,0.2121191050472677,-0.15179293861877777,-0.03565942712248108,0.023481026084204354,-0.06871767348955997,-0.0772396357601274,-0.39871029981349687,0.1322159028312154,-0.10143163397654761,-0.07664149192355348,0.2661381460805954,0.08463279997758172,0.1404241511910493,-0.15085501760265124,0.06968951878496472,-0.16541874520969543,0.07767978106059949,-0.380855924828302,0.008602841605853465,0.14390553914816917,-0.18099984405201647,-0.018078038441742893,-0.12918307282087407,-0.041712818468949274,0.024490855078983038,-0.02511729581525101,-0.09315781537234358
3,-0.02862121398221632,-0.2224370323582197,-0.08177321312624142,0.08224362666062539,-0.15099942828402907,0.0751362393568795,-0.05170441695083787,0.020467235394381045,-0.04978038287500414,0.34240009579066033,-0.17886496025191698,0.34181450980994604,-0.13003128822358645,0.24068519549641107,-0.1949152621693064,-0.0058042132758662915,-0.015991009845120658,-0.010871805149970715,-0.09801159198960109,-0.37780472384814673,0.22871534852790099,-0.167412663967075,-0.05572581837549369,0.18398798655549636,0.10378745179263865,0.10176004074363738,-0.07016461485318183,0.0005421768780192974,-0.13941309457122417,0.04581039882511472,-0.3464094582754673,0.02790322523244774,0.12797878836561202,-0.19064178620745711,-0.02794554660266205,-0.12594498283458844,-0.028073667613883913,0.028945464533365294,-0.023104424759965134,-0.11577690388081349
347aidan,-0.08599097806646085,-0.22150328522304927,-0.14462655651848838,0.08466137988479916,-0.16898696802981086,0.07282852196307679,-0.032470287773526084,0.007714323404342368,-0.05987183317252626,0.33888621172173644,-0.1456471160108767,0.2993674795122707,-0.0809127375372093,0.24103898581847813,-0.17777200621152675,-0.012320479262111715,-0.013329337258217985,-0.009711139868461392,-0.08364341169074851,-0.3869522510212679,0.19513918547389242,-0.14620877873232757,-0.052793192343880364,0.18787274738310636,0.09923771157108975,0.10615701180660725,-0.10962970541459745,0.017179105418283436,-0.1489875667071713,0.0788729028881465,-0.388660246207969,0.01583427756728975,0.13084791306006635,-0.17520471065265036,-0.03154145878577251,-0.1498731087729751,-0.05583560159238354,0.04070859533573079,-0.0004620230394299819,-0.10522696208696944
3LAU,0.05978678813136326,0.21865434826493943,0.12616608426885856,-0.08299859850676126,0.16374352055255692,-0.06450812474396632,0.0720202230443774,-0.05299842955892854,0.06411683028867883,-0.35507791313734144,0.16605971195396446,-0.3330609424902139,0.12228722958215195,-0.2425129219867929,0.19570691371126972,0.006603997971436985,0.028820641192940494,0.016699522892442607,0.09136464574591519,0.36168779580563704,-0.22506296455142272,0.15365560491204064,0.06493101404820034,-0.19322095184226304,-0.10502381519386973,-0.10534578880155566,0.09185799171568382,-0.02555810951714371,0.13861950779140456,-0.04438037603540206,0.34503089344694776,-0.017681806993499798,-0.12033073319171314,0.18835295388148998,0.03177275909481995,0.10345304779501904,0.042435061429379424,-0.016495137143738764,0.027295188459186905,0.11702201550484236
4 Non Blondes,-0.10528787390144644,-0.19815016239119665,-0.23846545922271786,0.09437745480087967,-0.16694253965215936,0.07815776240336378,-0.015575461936874277,-0.02051570886767083,-0.02503053327527853,0.31344797838801525,-0.09664122716700797,0.2626645018214925,-0.05172973788873394,0.23309805691600147,-0.14844261992414517,-0.032615859494730635,0.015460890966348052,-0.06526096757711355,-0.0924911578964063,-0.38268026436503877,0.16133435345888972,-0.11954683353397598,-0.06347486575846437,0.2464616813615138,0.10658654058518657,0.13515657475213275,-0.12013535186669211,0.07510755768895302,-0.20180165509848233,0.07791208754301579,-0.38377529483212763,-0.019786103209484495,0.15802219865247422,-0.173766719644957,0.008250918453994812,-0.11816921404264948,-0.03950732178260338,0.030517259083624196,-0.014733919028859037,-0.10606945715650587
42 Dugg,-0.0704033973291368,-0.22508536349346348,-0.15810727235740277,0.0866156089299011,-0.15903369069466503,0.06965178598718776,-0.0376999039631932,0.002226609113934207,-0.04539243644436165,0.3262724401243183,-0.11260690678879583,0.2901233184804725,-0.07427692069629814,0.21981869996552328,-0.17115379213464593,-0.013502896864753712,-0.003228984424217334,-0.05246862218910305,-0.09406185013720668,-0.3977010942567542,0.2321732112613215,-0.16388351921020128,-0.05131621569116579,0.21823099665534104,0.1124021025466611,0.10867867152849171,-0.09871835897015954,0.04509508542415561,-0.16339040469687224,0.08310553622999754,-0.3601230849252003,0.01013202780422238,0.1616354807950932,-0.19215628943607607,-0.012941054858517135,-0.11715428474918962,-0.03535632146788539,0.015824761570526213,-0.019074664382612242,-0.11139216687038671
45,-0.08492264360728098,-0.20969599258045382,-0.19440327185140077,0.09062577280252566,-0.1610296679285998,0.07642496305299995,-0.017153718635305508,-0.01885932820077394,-0.03692688200502289,0.328774065356916,-0.13691472416803432,0.2812428491425451,-0.07848019824304055,0.2218679091960477,-0.16145875039701457,-0.016477539212763338,0.014241550122137696,-0.057976804993963786,-0.07954495133358522,-0.3980988959478394,0.15593226719646677,-0.12855537355845323,-0.06660004210345963,0.24382633924222177,0.08880950694432292,0.13915666526709553,-0.11673737395544379,0.06638176559525634,-0.17409370147235934,0.07331320333415604,-0.3867438585076209,-0.012638414377635498,0.14755294760383716,-0.169583668454745,-0.005880501871207152,-0.11602884875487217,-0.0325053341638061,0.03674681484607226,-0.022242393271290694,-0.10311634996233715
4D,0.034330516929757464,0.2283745093476952,0.12215233634339392,-0.08544782666599664,0.1346569214513299,-0.06161745484938333,0.0706051518422298,-0.033117170141469476,0.055564040815612836,-0.339046760084701,0.1589440737625034,-0.2957806639332918,0.09650589510342894,-0.23743245390717818,0.18561153742433834,0.007834153065978768,0.02358971079595957,0.02727373493566159,0.0780457838654585,0.3745646636835656,-0.17078555196590373,0.12939584588818956,0.06274591897063897,-0.24021518608829312,-0.102902659998103,-0.12760195212056494,0.10877277614533086,-0.045167291116364625,0.16108449756278717,-0.08898323972742497,0.3832592240865648,-0.018228689589952107,-0.13602988765754237,0.20524204211432348,0.009823343823955343,0.11241025958291355,0.03435264963491974,-0.022719478646535087,0.024903386858419724,0.11267176427306574
