,Unnamed: 0,Unnamed: 0.1,Artist,Genres,Followers,Popularity,Songs,Length
2569,6250,6250,Min,"['dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'queens hip hop']",4173255,80,"['I.F.L.Y.', 'Fantasy', 'Mine', 'Paradise', 'Beautiful (feat. Camila Cabello)', 'Young & Alive', 'Myself', 'Why', 'Beautiful', '3:15']",10
2573,6269,6269,Miroslav Vitous,"['ecm-style jazz', 'jazz double bass', 'norwegian jazz', 'rare groove']",256816,60,"['Crystal Silence', 'Windows', 'Senor Mouse', 'My One And Only Love', 'Spain', 'Question And Answer', 'Part 8', 'Con Alma', 'La Fiesta', 'Spain']",10
2577,6276,6276,Mitski,"['art pop', 'brooklyn indie', 'indie pop']",728725,79,"['Nobody', 'Me and My Husband', 'Washing Machine Heart', 'I Bet on Losing Dogs', 'Strawberry Blond', 'Francis Forever', 'First Love / Late Spring', 'A Pearl', 'Class of 2013', 'Your Best American Girl']",10
2578,6277,6277,Mitsuko Uchida,"['classical performance', 'classical piano', 'japanese classical performance', 'japanese classical piano']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
2579,6278,6278,Mix Master Mike,['turntablism'],823526,67,"['The Look', 'The Bay', 'The Look - MGMT Remix', 'The Light', 'Everything Goes My Way', 'Salted Caramel Ice Cream', 'Reservoir', 'Lately', 'Picking Up for You - Outtake', 'Corinne']",10
2580,6282,6282,Mo-Do,"['belarusian indie', 'russian post-punk', 'sovietwave']",60986881,96,"['positions', '34+35', '7 rings', 'Stuck with U (with Justin Bieber)', 'thank u, next', 'Rain On Me (with Ariana Grande)', 'pov', '34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix', 'motive (with Doja Cat)', 'God is a woman']",10
2583,6290,6290,Modest Mouse,"['alternative rock', 'dance-punk', 'double drumming', 'indie pop', 'indie rock', 'modern rock', 'rock', 'washington indie']",1156626,68,"['Float On', 'Dashboard', 'Missed the Boat', 'Lampshades on Fire', 'The World At Large', 'Gravity Rides Everything', 'Ocean Breathes Salty', 'Dramamine', '3rd Planet', 'The Ground Walks, with Time in a Box']",10
2586,6297,6297,Mohammed Rafi,"['classic bollywood', 'desi pop', 'filmi', 'sufi']",1964300,65,"['Radha Kaise Na Jale', 'Chura Liya Hai Tumne Jo Dil Ko (From ""Yaadon Ki Baaraat"")', 'Janu Meri Jaan - Shaan / Soundtrack Version', 'Kisi Nazar Ko Tera Intezar', 'O Haseena Zulfonwale Jane Jahan (From ""Teesri Manzil"")', 'Ajnabi Mujhko Itna Bata', 'Le Gayi', 'Ek Main Aur Ek Tu', 'Zara Sa Jhoom Loon Main', 'Yeh Vaada Raha - Yeh Vaada Raha / Soundtrack Version']",10
2587,6298,6298,Mohan,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",4812140,83,"['Still Be Friends (feat. Tory Lanez & Tyga)', 'Provide (feat. Chris Brown & Mark Morrison)', 'Him & I (with Halsey)', 'Me, Myself & I', 'No Limit', 'Share That Love (feat. G-Eazy)', 'I Mean It (feat. Remo)', 'Hate The Way (feat. blackbear)', 'Moana', 'Some Kind Of Drug (feat. Marc E. Bassy)']",10
2589,6300,6300,Mojado,"['cumbia sonidera', 'grupera', 'gruperas inmortales', 'regional mexican']",6347168,79,"['Fuiste Tú (feat. Gaby Moreno)', 'El Problema', 'Mujeres', 'Minutos', 'Historia de Taxi', 'Ella', 'Pingüinos en la Cama', 'Acompáñame a Estar Solo', 'El Amor Que Me Tenía - Versión Acústica', 'Cómo Duele']",10
2592,6309,6309,Mon Laferte,"['latin', 'latin alternative', 'latin pop']",3549599,75,"['Tu Falta De Querer', 'Amárrame', 'Mi Buen Amor', 'Amor Completo', 'Antes De Ti', 'Que Se Sepa Nuestro Amor', 'Canción Sin Miedo', 'Si Tú Me Quisieras', 'Invéntame', 'Plata Ta Tá']",10
2594,6311,6311,Money B,['atl trap'],15678579,90,"['Up', 'WAP (feat. Megan Thee Stallion)', 'I Like It', 'South of the Border (feat. Camila Cabello & Cardi B)', 'Money', 'Finesse - Remix; feat. Cardi B', 'Bodak Yellow', 'Please Me', 'Rodeo', 'MotorSport']",10
