,artists,genres
367,Abhi The Nomad,"['desi hip hop', 'vapor soul']"
373,Abnormal Boyz,['italian techno']
376,Above & Beyond,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
377,Above The Law,"['g funk', 'gangster rap', 'hip hop', 'hyphy', 'west coast rap']"
378,Abracadabra,['musica costarricense']
383,Abrasive Wheels,"['oi', 'street punk', 'uk82']"
386,Absofacto,"['indie psych-pop', 'shimmer psych']"
387,Abstract Rude,"['abstract hip hop', 'alternative hip hop', 'underground rap']"
388,Abstract Sunrise,['progressive psytrance']
389,Abstract Vision,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'russian trance', 'trance', 'uplifting trance']"
390,Abuse,['indie punk']
391,Abwärts,"['german punk', 'german rock', 'neue deutsche welle']"
392,Abys,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']"
398,Academy of Ancient Music,"['baroque ensemble', 'british orchestra', 'choral', 'classical performance', 'historically informed performance']"
399,Academy of St. Martin in the Fields,"['british orchestra', 'chamber orchestra', 'classical', 'classical performance']"
400,Academy of St. Martin in the Fields Chorus,['choral']
401,Acapulco Tropical,"['cumbia sonidera', 'musica costena', 'ranchera']"
402,Accademia I Filarmonici,['italian baroque ensemble']
403,Accept,"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']"
404,Acceptance,"['christian alternative rock', 'dreamo', 'emo', 'neon pop punk', 'pop punk', 'screamo']"
405,Ace,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
406,Ace Frehley,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
407,Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
409,Ace Spectrum,['classic soul']
410,Ace Ventura,"['progressive psytrance', 'psychedelic trance']"
