,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,songs,followers,Popularity Score,Artist ID,Image URL
15799,15799,Switchfoot,0.1382162499999999,0.45425,239030.0,0.7191250000000002,0.10417645,0.2421249999999999,-6.525874999999997,0.0423625,129.18200000000002,0.3660000000000001,51.25,4,1,16,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'neo mellow', 'pop rock', 'worship']","['Meant to Live', 'Dare You To Move', ""I Won't Let You Go"", 'NATIVE TONGUE', 'Only Hope', 'Your Love Is a Song', 'JOY INVINCIBLE', 'You', 'This Is Your Life', 'Live It Well']",566478,64,6S58b0fr8TkWrEHOH4tRVu,https://i.scdn.co/image/ab6761610000e5ebc61be1db6969d9c1a8d9c0b1
9623,9623,Les Elgart,0.722,0.623,120893.0,0.782,0.88,0.332,-4.51,0.0642,109.045,0.59,17.0,5,1,2,"['big band', 'easy listening', 'space age pop']","['Meditation', 'Skyliner', 'Adios', 'Little Brown Jug', 'A String of Pearls', 'Brazil (Bossa Nova)', 'Downtown', 'Willow Weep for Me', ""Why Don't You Do Right (Get Me Some Money Too)"", 'Green Eyes']",1329,24,2aw1GjnuDSI2rPxaghLPb1,https://i.scdn.co/image/ab67616d0000b2738ebdb78d36dfd701a0c177f8
18455,18455,X-Clan,0.0169333333333333,0.883,248333.0,0.7063333333333333,0.0010466666666666,0.2903333333333333,-12.765333333333333,0.2023333333333333,104.809,0.6716666666666667,29.33333333333333,11,0,6,"['dark post-punk', 'dark wave', 'dream pop', 'ebm', 'ethereal wave', 'gothic rock', 'new romantic', 'new wave', 'synthpop']","['Medusa', 'A Day', 'No Words', 'Back Door', 'A Forest', 'Jasmine And Rose', 'Louise', 'She', '7th Time', 'Masquerade']",90214,45,1wHmR7I0UlF58WFQexCPha,https://i.scdn.co/image/cb15aeafa6070c46c6b3dad2cfa01b29fbb27a95
18423,18423,Workout Dance Factory,0.00752,0.6729999999999999,282480.0,0.805,0.000723,0.0557,-5.702000000000001,0.0394,130.007,0.878,0.5,10,1,4,['workout product'],"['Memories (Workout Dance Remix)', 'Light It Up (Remix)', 'Old Town Road (Workout Dance Remix)', 'RITMO (Bad Boys For Life) [Workout Dance Remix]', ""Don't Start Now (Workout Dance Remix)"", 'Summertime Sadness (Workout Dance Remix)', 'Wake Me Up (Workout Dance Remix)', 'The Git Up (Workout Dance Remix)', 'Good as Hell (Workout Dance Remix)', 'Goodbyes (Workout Dance Remix)']",3395,27,4BzLbN9yomNn0cNE1sChPB,https://i.scdn.co/image/ab67616d0000b273486d29588e78d3ddbf05c7ab
8636,8636,Junior H,0.5397777777777778,0.5975555555555556,223294.7777777777,0.5792222222222222,0.0019738533333333,0.1071777777777777,-6.4367777777777775,0.0448333333333333,129.88944444444445,0.6265555555555555,70.77777777777777,5,0,9,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']","['Mente Positiva', 'Ella', 'Disfruto Lo Malo', 'No Me Pesa', 'Verdes Verdes', 'Los 4 Ases (Corrido Tumbado)', '1004 Kilómetros', 'La Vi Llorar', 'Paso En Culiacan', 'Jueves 10']",766154,79,7Gi6gjaWy3DxyilpF1a8Is,https://i.scdn.co/image/51585e01b52816dec8b15a2683d7f797e9c1c26a
6304,6304,Ghostemane,0.0646725882352941,0.7910000000000001,136198.82352941178,0.7771176470588234,0.0350254588235294,0.3880117647058824,-6.6147647058823535,0.2642764705882353,132.991,0.2694117647058823,67.82352941176471,8,1,17,"['dark trap', 'florida rap']","['Mercury: Retrograde', 'I duckinf hatw you', '1000 Rounds', 'Squeeze', 'Nihil', 'Venom', 'Flesh', 'Death by Dishonor', 'To Whom It May Concern', 'Fed Up']",1862065,77,3uL4UpqShC4p2x1dJutoRW,https://i.scdn.co/image/fcb4d67c0007c6258d50fe7729eab133a5720fd1
17529,17529,Toronto Symphony Orchestra,0.9701931818181816,0.3348772727272727,200003.31818181812,0.1207209090909091,0.1944904181818182,0.2221329545454545,-24.30665909090909,0.0428829545454545,101.494,0.3225579545454546,31.32954545454545,2,1,88,['orchestra'],"['Messiah, HWV 56, Pt. 1: For unto Us a Child Is Born', 'Hallelujah - Live', 'For Unto Us A Child Is Born - Live', 'And The Glory Of The Lord Shall Be Revealed - Live', 'Sinfony: Grave - Live', 'Comfort Ye My People', ""Ev'ry Valley Shall Be Exalted"", 'And He Shall Purify', 'Glory To God In The Highest - Live', 'O Thou That Tellest Good Tidings To Zion - Live']",2461,47,4gTJ4MkZcCantFX5zlRRI8,https://i.scdn.co/image/b616246fd897d2c1e4c6ce47b42114c2f158de13
17528,17528,Toronto Mendelssohn Choir,0.9690909090909092,0.3267318181818181,190331.18181818185,0.1146054545454545,0.1962972363636364,0.2165727272727272,-24.82854545454545,0.0431863636363636,100.93872727272728,0.3123931818181819,31.52272727272728,2,1,44,['canadian choir'],"['Messiah, HWV 56, Pt. 1: For unto Us a Child Is Born', 'Hallelujah - Live', 'For Unto Us A Child Is Born - Live', 'And The Glory Of The Lord Shall Be Revealed - Live', 'Sinfony: Grave - Live', 'Comfort Ye My People', ""Ev'ry Valley Shall Be Exalted"", 'And He Shall Purify', 'Glory To God In The Highest - Live', 'O Thou That Tellest Good Tidings To Zion - Live']",243,42,5XeUJAVEm6UfS2NXBFYP3c,https://i.scdn.co/image/965b03be3c6c0d22911a3b4839bcb0a3974e765b
17352,17352,"Tito ""El Bambino""",0.1346111111111111,0.7714444444444446,213731.88888888888,0.7308888888888888,5.744444444444444e-06,0.1805111111111111,-6.848333333333333,0.0674444444444444,97.464,0.5778888888888889,61.0,4,0,9,"['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']","['Mi Cama Huele a Ti', 'Flow Natural', 'Siente El Boom (feat. Randy)', 'Por Ti', 'El Amor', 'Sol, Playa Y Arena', 'I Love You', 'Ay Mami (feat. Bryant Myers)', 'Caile', 'Baila Morena']",2497749,71,5fJsY7afrbsyzJj9wdzJMh,https://i.scdn.co/image/e0e8bbeb05a625771c14d70c6f5a4e1c83a8f077
12214,12214,Noize,0.579,0.49,213373.0,0.486,0.0,0.1169999999999999,-7.853,0.026,151.985,0.389,27.0,4,1,2,"['alternative dance', 'dance-punk', 'disco house', 'electro house', 'filter house', 'german dance', 'german techno', 'new rave']","['Midnight Hour with Boys Noize & Ty Dolla $ign', 'Ride Or Die (feat. Chilly Gonzales)', 'BREAK LAW', 'Mvinline', 'TURN OFF THE LIGHTS', '4 MIND (with josh pan and X&G)', 'TASTY - Boys Noize Remix', 'KOKOE (with Otira)', 'Girl Crush', 'FMU (feat. Rico Nasty)']",231154,58,62k5LKMhymqlDNo2DWOvvv,https://i.scdn.co/image/c95a95a25225d9082352859185e8551e7b30ea99
