,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,songs,followers,Popularity Score,Artist ID,Image URL,Artist URL,Length
84,84,4D,0.249,0.727,222433.0,0.846,0.0,0.916,-4.912,0.054,137.983,0.8859999999999999,8.0,1,1,2,['environmental'],"['Thunder from afar', 'The Oceanic Beach Sound', 'City Rain', 'Stereo Waves', 'Cicada Sounds', 'Walking on the Beach', 'Stereo Rain', 'Loopable Woods', 'Repeatable Grig', 'Owls Sound']",948,54,6EAXjip845wircvDzEImru,https://i.scdn.co/image/ab67616d0000b273f850e4bb58f520ada8c34c16,https://open.spotify.com/artist/6EAXjip845wircvDzEImru,10
92,92,6 Dogs,0.2239999999999999,0.748,171907.0,0.66,0.053,0.1009999999999999,-4.704,0.0487,137.033,0.3279999999999999,64.0,6,1,2,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']","['Faygo Dreams', 'Saturn', 'When I Was a Baby', 'Off The Gas (feat. Lil Skies)', 'Starfire (Teen Titans)', 'Buttcheeks', 'Beach House', 'Drifting', 'Post Malone', 'Someone']",272805,64,3Ps6le7tj5BdNtdnfNgTU4,https://i.scdn.co/image/210e0e2796e75b92210c000db64c03115f64a630,https://open.spotify.com/artist/3Ps6le7tj5BdNtdnfNgTU4,10
95,95,6LACK,0.2578314285714286,0.6549047619047619,223489.61904761905,0.5231428571428571,0.0032209438095238,0.1312,-7.805571428571428,0.1552333333333333,125.2394285714286,0.3504095238095238,67.66666666666667,10,1,21,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']","['Calling My Phone', 'Pretty Little Fears (feat. J. Cole)', 'OTW', 'PRBLMS', 'Yo Love - From ""Queen & Slim: The Soundtrack""', 'Know My Rights (feat. Lil Baby)', 'Ex Calling', 'Belong to You (feat. 6LACK)', 'Stay Down (with 6LACK & Young Thug)', 'Seasons (feat. Khalid)']",2905708,85,4IVAbR2w4JJNJDDRFP3E83,https://i.scdn.co/image/b95bf1fcc0b3491a8623419548a69add9bb5812f,https://open.spotify.com/artist/4IVAbR2w4JJNJDDRFP3E83,10
96,96,6ix9ine,0.1174,0.7004545454545454,154665.9090909091,0.6952727272727273,0.0,0.1468181818181818,-4.844181818181816,0.2484,109.88745454545456,0.4218181818181818,72.45454545454545,4,1,11,['emo rap'],"['FEFE', 'GOOBA', 'BEBE', 'ZAZA', 'KIKA', 'BILLY', 'TROLLZ (with Nicki Minaj)', 'MALA', 'GOTTI', 'Poles 1469']",6425191,79,7gZfnEnfiaHzxARJ2LeXrf,https://i.scdn.co/image/ddd1eba0b544ae7d305bcddbc9eb79357434092a,https://open.spotify.com/artist/7gZfnEnfiaHzxARJ2LeXrf,10
98,98,7 Skies,0.039948,0.6186666666666666,346739.33333333326,0.9036666666666666,0.3506,0.0673666666666666,-6.72,0.0884,131.84266666666664,0.5196666666666666,0.0,5,0,6,['uplifting trance'],"['Neverland', 'My Frequency (feat. RebMoe)', 'Blue Kind (feat. Enlery)', 'Trouble (feat. Micky Blue)', 'Love On Me', 'The Drill', 'Rubicon - Yotto Remix', 'Talk - 7 Skies Remix', 'Rubicon (ABGT400) - Yotto Remix', 'ZAO']",6555,51,2mmqhYDTD0weseyXUf1QJ5,https://i.scdn.co/image/e8f8959fbf37dcd1b0d0972c10af497b336cac88,https://open.spotify.com/artist/2mmqhYDTD0weseyXUf1QJ5,10
105,105,88rising,0.486,0.4814999999999999,244075.0,0.6335,0.00013088,0.1326,-7.947,0.1594,82.475,0.291,68.0,3,1,2,"['asian american hip hop', 'pop']","['Midsummer Madness', 'La La Lost You - Acoustic Version', 'I Love You 3000 II', 'La La Lost You', 'History', 'Indigo', 'Head In The Clouds', 'Walking (feat. Swae Lee & Major Lazer)', 'La Cienega', 'Peach Jam']",656762,71,1AhjOkOLkbHUfcHDSErXQs,https://i.scdn.co/image/446fad32a42d3698c110bc3590a4f8cea1cbcbba,https://open.spotify.com/artist/1AhjOkOLkbHUfcHDSErXQs,10
109,109,90sFlav,0.952,0.748,126250.0,0.265,0.917,0.0866,-12.074000000000002,0.2289999999999999,77.009,0.14,69.0,8,0,2,['lo-fi beats'],"['Call me', 'Wish You Still Felt This Way', 'Fantasy', 'Ingleside', 'Balmy', 'прошлой ночью', 'Sight', 'When I Met You', 'Seven of Nine', ""Southlands 94'""]",73520,59,6OOxsmeDk34xk6Ok3Ap95C,https://i.scdn.co/image/ab67616d0000b273f0b22473a87abf7907c258ba,https://open.spotify.com/artist/6OOxsmeDk34xk6Ok3Ap95C,9
112,112,98º,0.3844545454545456,0.6179545454545454,257654.5454545455,0.5482727272727272,2e-06,0.1174136363636363,-8.651318181818182,0.0379954545454545,99.63854545454544,0.4193181818181818,46.22727272727273,10,1,22,"['boy band', 'dance pop']","['I Do (Cherish You)', 'The Hardest Thing', 'My Everything', 'Because of You (Acoustic)', 'Because Of You', 'Invisible Man (Acoustic)', 'True To Your Heart', 'Give Me Just One Night (Una Noche)', 'Invisible Man', 'Still']",312950,59,6V03b3Y36lolYP2orXn8mV,https://i.scdn.co/image/724da94d50ed555288c2fcf3cfd82e900c6fd0c0,https://open.spotify.com/artist/6V03b3Y36lolYP2orXn8mV,10
116,116,9lokknine,0.0388,0.932,176640.0,0.547,0.0,0.0924,-7.787000000000001,0.3329999999999999,94.998,0.695,70.5,0,0,4,['florida rap'],"[""223's (feat. 9lokknine)"", 'Why You Lying', 'No Relay', 'Beef', 'Fun Facts', 'Seconds Later (Freestyle)', 'Boot Up', 'Trap Do (feat. Rich The Kid)', 'Talm Bout', 'Fiesta']",276523,64,0ceH34CATvfgphxnLRWFkm,https://i.scdn.co/image/14a9c80d3b4a9d7717e45ca1294ea61033bb73a2,https://open.spotify.com/artist/0ceH34CATvfgphxnLRWFkm,9
125,125,A Day To Remember,0.0352929413793103,0.4052068965517243,216021.7931034483,0.9058275862068966,0.0001276031034482,0.2848310344827585,-4.730620689655171,0.1125413793103448,147.90137931034482,0.429896551724138,56.13793103448275,0,1,58,"['metalcore', 'pop punk', 'screamo']","['If It Means A Lot To You', 'The Downfall Of Us All', 'Last Chance To Dance (Bad Friend)', 'All I Want', 'Resentment', 'Everything We Need', 'Paranoia', 'All Signs Point To Lauderdale', 'Mindreader', ""I'm Made Of Wax, Larry, What Are You Made Of?""]",1868370,76,4NiJW4q9ichVqL1aUsgGAN,https://i.scdn.co/image/25e98c889e5cadd0b053c5e70dc8a660facd880c,https://open.spotify.com/artist/4NiJW4q9ichVqL1aUsgGAN,9
