,artists,genres,followers,Artist ID,Popularity Score,Image URL
46,AC/DC,"['album rock', 'australian rock', 'hard rock', 'rock']",18680763,711MCceyCBcFnzjGY4Q7Un,85,https://i.scdn.co/image/52f9c4f83d8642ed80a0bad0317ab940e034de08
47,AFI,"['emo', 'pop punk', 'punk', 'screamo', 'skate punk']",692224,19I4tYiChJoxEO5EuviXpz,65,https://i.scdn.co/image/ef2adbff9ef78f48a984edafad566f3b50d3292e
48,AJ Mitchell,"['electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",570150,6dn6x1XOng3LOAnfTjUn77,72,https://i.scdn.co/image/ab6761610000e5ebb0399cd0b879bf891cb66427
49,AJJ,"['acoustic punk', 'anti-folk', 'folk punk']",176564,4IDpDJIDfK96HMLD4Tphyl,60,https://i.scdn.co/image/ab6761610000e5ebf89c1d5febc6fcf08923c771
50,AJR,['modern rock'],1751157,6s22t5Y3prQHyaHWUN1R1C,82,https://i.scdn.co/image/22219e6beaa9a4933b90cca1d32e48db233d984c
51,AKLO,['j-rap'],54191,5fNuYnFYyzsrVRtDcKPnxb,65,https://i.scdn.co/image/63c58ae0ac79254edd55e37fb4f6e0b6cb92fcae
52,ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",158642,1rSGNXhhYuWoq9BEz5DZGO,65,https://i.scdn.co/image/0dd9c9e557858859ac5b8051092b94e5d1cd2b7b
53,ATB,"['disco house', 'german dance', 'german techno', 'german trance', 'trance']",264301,7jZM5w05mGhw6wTB1okhD9,79,https://i.scdn.co/image/9c2247fbe9f532d5dd16a78e5f951cde509ce06d
54,AUGUST 08,"['la pop', 'r&b']",25401,2iB8eFB6flwQculkUrRssi,61,https://i.scdn.co/image/afb88a81a2561e8a9b50433b436b5f26c089b67a
55,AURORA,"['art pop', 'norwegian pop']",1308128,1WgXqy2Dd70QQOU7Ay074N,79,https://i.scdn.co/image/ab6761610000e5eb9febc75ecfa8f5b81e67429b
56,AWOLNATION,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",1910229,4njdEjTnLfcGImKZu1iSrz,69,https://i.scdn.co/image/f2f50062fb8e368453fc50241c28669f1573a77e
57,Aaliyah,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",2584525,0urTpYCsixqZwgNTkPJOJ4,64,https://i.scdn.co/image/341693fbd0b8ed0e8ae042713598e2c9ea4870dc
58,Aaron Lewis,"['contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck']",505240,2t2XKfWKLXpFIjFwy1K8wx,63,https://i.scdn.co/image/0bb008b9926d05a6e9b37b2694412afd0a6c96a4
59,Aaron May,"['rap', 'underground hip hop']",138224,2rwALQ1SXdfUWPUd6WOfYS,64,https://i.scdn.co/image/ab67616d0000b2738fecf610f57f9c3e6df2dc42
60,Aaron Smith,['chicago house'],230358,77qukKzmdI5BeMBR7WGUrN,70,https://i.scdn.co/image/ead4661fcddfe229e2e07d76b74e04e6de06cdcb
61,Aaron Y Su Grupo Ilusion,"['cumbia sonidera', 'ranchera', 'regional mexican']",367488,1zVxAFV8uL5V816dzdHvYQ,64,https://i.scdn.co/image/079157aba7a670f063f5368bb4e8a97ac8d5c736
62,Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",792337,0g9vAlRPK9Gt3FKCekk4TW,63,https://i.scdn.co/image/ab6761610000e5eb67bc514ef65fdcdf6b85cbcf
63,Abhi The Nomad,"['desi hip hop', 'vapor soul']",88574,1gUi2utSbJLNPddYENJAp4,60,https://i.scdn.co/image/ab6761610000e5eb64196fd4db23f8164a948572
64,Absofacto,"['indie psych-pop', 'shimmer psych']",102703,7gAYvcQFmAruyvwGjxrSUr,65,https://i.scdn.co/image/7811d6ace89370b521b147d08e2b20e83ab98d0a
65,Academy of Ancient Music,"['baroque ensemble', 'british orchestra', 'choral', 'classical performance', 'historically informed performance']",28587,60adCptqwRkANTtVja0bvf,64,https://i.scdn.co/image/94a9dce27481f5491ab83246d33d5811cb23445d
66,Accept,"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']",599904,3JDIAtVrJdQ7GFOX26LYpv,61,https://i.scdn.co/image/311aa9cae606cb5202daef71f826544c02cb800e
67,Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1371482,31HjiqargV4NAw4GZqUale,67,https://i.scdn.co/image/60fdda23080bc7a93413168ddca785e52fde508d
