,artists,songs
2644,Captain Beefheart & His Magic Band,"[""I'm Glad"", 'Her Eyes Are a Blue Million Miles', ""Sure 'Nuff 'n' Yes, I Do"", 'Zig Zag Wanderer', 'Too Much Time', 'My Head Is My Only House Unless It Rains', 'Electricity', 'Tropical Hot Dog', 'Abba Zaba', 'Big Eyed Beans from Venus']"
3236,Clams Casino,"[""I'm God"", 'All I Need', 'Spider Web', 'All Nite (feat. Vince Staples)', ""I'm the Devil"", 'Be Somebody (feat. A$AP Rocky & Lil B)', 'Blast', 'Illest Alive', 'Motivation', 'Cupidwing']"
10868,Martin Jensen,"[""I'm Just Feelin' (Du Du Du)"", 'Solo Dance', ""Day 'N' Nite - Martin Jensen Edit"", 'Nobody', '2019', ""Don't Cry For Me (with Jason Derulo)"", 'Running Back To You', 'At Least I Had Fun', 'So We Go - Martin Jensen Edit', 'Middle Of The Night']"
15167,Snøw,"[""I'm Not Enough and I'm Sorry"", ""You Don't Want Me Anymore"", 'Say Goodbye', 'Sunset/Sunrise', 'summer nights', 'Nagato', 'make you mine - feat. Snøw, Powfu, Rxseboy', 'Are You Afraid to Be Lonely?', 'Now I Feel X Only You', 'Waste My Time']"
15588,Straight No Chaser,"[""I'm Yours / Somewhere over the Rainbow - EP Version"", ""Rhythm of Love / Can't Help Falling in Love - EP Version"", 'Shut up and Dance', 'All About That Bass (No Tenors)', 'The 12 Days of Christmas', 'You Get What You Give', 'Some Nights / We Are Young', 'I Want You Back (feat. Sara Bareilles)', 'The Movie Medley', 'The Christmas Can-Can']"
16757,The Monkees,"[""I'm a Believer - 2006 Remaster"", 'Daydream Believer', 'Me & Magdalena', ""(I'm Not Your) Steppin' Stone - 2006 Remaster"", 'Last Train to Clarksville - Original Stereo Version; 2006 Remaster', ""I'm a Believer - Alternate Mix; 2006 Remaster"", 'As We Go Along', 'Pleasant Valley Sunday - 2007 Remaster', 'A Little Bit Me, a Little Bit You', ""(I'd Go The) Whole Wide World""]"
7253,ILOVEMAKONNEN,"[""I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)"", 'Tuesday (feat. Drake)', 'Sunlight On Your Skin - Bonus Track', 'I Like Tuh', ""I Don't Sell Molly No More"", 'Tuesday', 'Liquid Supply Daily', ""Spendin' (feat. Gucci Mane)"", 'Look at Wrist', 'Swerve']"
13493,Rainbow Kitten Surprise,"[""It's Called: Freefall"", 'Devil Like Me', 'Cocaine Jesus', 'First Class', 'Heart', 'All That and More (Sailboat)', 'Lady Lie', 'When It Lands', ""All's Well That Ends"", 'Painkillers']"
16410,The Doc,"[""It's Funky Enough - Remastered Single"", 'The Formula', 'The Grand Finale', 'Whirlwind Pyramid', 'Let the Bass Go', 'Lend Me an Ear', 'D.O.C. AND THE DOCTOR', ""Mind Blowin'"", 'Portrait of a Master Piece', 'No One Can Do It Better']"
16624,The Jimmy Castor Bunch,"[""It's Just Begun"", 'Troglodyte (Cave Man)', ""It's Just Begun"", 'Bertha Butt Encounters Vadar', 'I Just Wanna Stop', 'Bertha Butt Boogie', 'Whiter Shade Of Pale', 'Potential', 'Creation (Epilogue)', 'King Kong']"
16645,The Keynotes,"[""Jesus You've Been Good To Me"", 'Show Me The Way', 'Just a Rehersal', ""That's My Son (Dying On The Cross)"", ""I'm Yours Lord"", 'I Made A Vow (To The Lord)', 'You Brought Me from a Mighty Long Way', ""He'll Make It Right"", ""You Can't Make It to Heaven"", 'Rise Again']"
6459,Godspeed You! Black Emperor,"[""Job's Lament"", 'Military Alphabet (five eyes all blind) [4521.0kHz 6730.0kHz 4109.09kHz]', 'First of the Last Glaciers', 'Fire at Static Valley', '“GOVERNMENT CAME” (9980.0kHz 3617.1kHz 4521.0 kHz)', 'where we break how we shine (ROCKETS FOR MARY)', 'Cliffs Gaze / cliffs’ gaze at empty waters’ rise / ASHES TO SEA or NEARER TO THEE', 'OUR SIDE HAS TO WIN (for D.H.)', 'Storm', 'Bosses Hang, Pt. I']"
16236,The Brian Setzer Orchestra,"[""Jump Jive An' Wail"", 'Americano', 'Sleepwalk', 'Rock This Town', ""This Cat's On A Hot Tin Roof"", 'The Dirty Boogie', ""You're The Boss"", 'Run Rudolph Run', 'This Old House', 'Pennsylvania 6-5000']"
7806,Jay-Roc,"[""King's Dead (with Kendrick Lamar, Future & James Blake)"", 'WIN', 'Wow Freestyle (feat. Kendrick Lamar)', 'Hood Gone Love It (feat. Kendrick Lamar)', 'Tap Out (feat. Jeremih)', 'OSOM (feat. J. Cole)', 'Vice City (feat. Black Hippy)', 'Redemption (feat. SZA)', 'Shit Real (feat. Tee Grizzley)', 'Easy Bake (feat. Kendrick Lamar & SZA)']"
11673,Mouloudji,"[""L'amour, l'amour, l'amour"", ""L'amour l'amour l'amour"", 'Reine de musette', ""Comme un p'tit coquelicot"", 'Un jour tu verras', 'La complainte de la Butte', 'Musette à Paris', 'Indifférence', 'La java bleue', 'Mon amant de Saint-Jean']"
7436,Irving Aaronson and His Commanders,"[""Let's Misbehave"", ""Let's Misbehave"", ""I'm Just Wild About Animal Crackers"", 'Do You Believe in Dreams?', 'Poor Papa', 'Hard-to-Get Gertie', ""An' Furthermore"", 'Hard to Get Gertie', 'Crazy Words - Crazy Tune (Vo-Do-De-O)', ""Don't Wake Me Up (Let Me Dream)""]"
5039,Eli Young Band,"[""Love Ain't"", 'Crazy Girl', 'Even If It Breaks Your Heart', 'Saltwater Gospel', 'Drunk Last Night', 'Skin & Bones', 'Saltwater Gospel - Fins Up Version', 'Dust', 'Guinevere', 'Where Were You']"
16701,The Love Unlimited Orchestra,"[""Love's Theme"", 'Midnight And You', 'Satin Soul', 'Rhapsody In White', 'Bayou', 'Baby Blues', ""Barry's Theme"", ""Somebody's Gonna Off The Man"", 'What A Groove', 'Anna Lisa']"
2261,Branford Marsalis Quartet,"[""Mo' Better Blues (feat. Terence Blanchard)"", 'Cianna', 'Gloomy Sunday', 'Conversation Among the Ruins', 'Harlem Blues', 'The Ruby and The Pearl', 'Snake Hip Waltz', 'Again Never', 'Doctone', 'Pop Top 40']"
17031,The Staves,"[""Nothing's Gonna Happen (Demo)"", ""I'm on Fire"", 'Good Woman', 'Nothing’s Gonna Happen', 'Jolene - Live', 'White Roses', 'Failure', 'Mexico', 'Best Friend', 'Nazareth']"
18045,Vittorio De Sica,"[""Parlami D'Amore Mariù"", 'Dammi Un Bacio E Ti Dico Di Si', 'Tu, solamente tu', ""Parlami d'amore Mariù"", 'Sono tre parole - Remastered', ""Parlami D'Amore Mariù"", 'Ludovico - Remastered', 'Un Vecchio Cuore', ""Parlami d'amore Mariù"", 'Io Son Pacifico']"
10237,Lucienne Boyer,"[""Parlez-moi d'amour"", 'Mon coeur est un violon', ""Mon p'tit kaki"", 'Chez moi', 'Si petite', ""L'Hôtel du clair de lune"", 'Entraineuse', 'Le Plus joli rêve', 'Parlez-moi d’amour', ""Moi j'crache dans l'eau""]"
18826,mike.,"[""Please Don't Go"", 'I Took A Pill In Ibiza - Seeb Remix', 'Cooler Than Me - Single Mix', 'Cooler Than Me (feat. Big Sean)', 'Momma Always Told Me (feat. Stanaj & Yung Bae)', 'Weaponry', 'I Took A Pill In Ibiza', ""Bow Chicka Wow Wow (feat. Lil' Wayne)"", 'Move On', 'Momma Always Told Me (feat. Stanaj & Yung Bae) - Matoma Remix']"
17051,The Sugarhill Gang,"[""Rapper's Delight"", ""Rapper's Delight"", 'Apache', ""Rapper's Delight - Long Version"", 'Apache - 45 Version', 'The Message', 'Rapper\'s Delight - 7"" Single Version', ""Rapper's Delight - Long Version"", '8th Wonder', ""It's Nasty (Genius of Love) [Short Version]""]"
15667,Sugar T.,"[""Rapper's Delight"", ""Rapper's Delight"", 'Apache', ""Rapper's Delight - Long Version"", 'Apache - 45 Version', 'The Message', 'Rapper\'s Delight - 7"" Single Version', ""Rapper's Delight - Long Version"", '8th Wonder', ""It's Nasty (Genius of Love) [Short Version]""]"
15663,Suga-T,"[""Rapper's Delight"", ""Rapper's Delight"", 'Apache', ""Rapper's Delight - Long Version"", 'Apache - 45 Version', 'The Message', 'Rapper\'s Delight - 7"" Single Version', ""Rapper's Delight - Long Version"", '8th Wonder', ""It's Nasty (Genius of Love) [Short Version]""]"
842,André 3000,"[""Rollinem 7's"", 'Long Way To Go', 'All Together Now', 'Sleazy', 'No Cigar', ""André 3000's Style Soundtrack Part 1"", ""André 3000's Style Soundtrack Part 2"", ""André 3000's Style Soundtrack Part 4"", ""André 3000's Style Soundtrack Part 3"", ""André 3000's Style Soundtrack Part 6""]"
17266,Three Plus,"[""Rollinem 7's"", 'Long Way To Go', 'All Together Now', 'Sleazy', 'No Cigar', ""André 3000's Style Soundtrack Part 1"", ""André 3000's Style Soundtrack Part 2"", ""André 3000's Style Soundtrack Part 4"", ""André 3000's Style Soundtrack Part 3"", ""André 3000's Style Soundtrack Part 6""]"
7733,Janos Balint,"[""Sadko: Hindu Song (arr. N. Mercz): Hindu Song from the Opera 'Sadko'"", 'Piece en forme de habanera (arr. N. Mercz): Vocalise-etude en forme de habanera', '6 Morceaux, Op. 51: No. 6. Valse sentimentale (arr. N. Mercz): Valse sentimentale in F Minor Op. 51, No. 6', 'Maya', 'Carmen (arr. N. Mercz): Intermezzo from the Opera ""Carmen""', 'Thais, Act II: Meditation (arr. for flute and harp)', 'Menuet in E-Flat Major', 'Waltz No. 1 in E-Flat Major, Op. 83', 'Petite Suite No. 1: En bateau (arr. for flute and harp)', ""Orfeo ed Euridice (arr. N. Mercz): Ballet, 'Dance of the Blessed Spirits', from 'Orfeo ed Euridice'""]"
6049,GZA (Genius),"[""Shadowboxin'"", '4th Chamber', 'Liquid Swords', 'Duel Of The Iron Mic', 'Living In The World Today', 'Cold World', 'B.I.B.L.E. (Basic Instructions Before Leaving Earth)', 'Investigative Reports', 'On The Eve Of War (Julio Caesar Chavez Mix)', 'Gold']"
18409,Wonder,"[""Signed, Sealed, Delivered (I'm Yours)"", 'I Just Called To Say I Love You', 'Superstition', 'For Once In My Life', 'You Are The Sunshine Of My Life', 'Sir Duke', ""Isn't She Lovely"", 'Part-Time Lover', 'My Cherie Amour', 'I Wish']"
11504,Mistah F.A.B.,"[""Still Feelin' It"", 'N.E.W Oakland', 'Sideshow (Remix)', 'Digital Trick', 'Super Sic Wit It', 'Up Until Then', 'Ghost Ride IT', 'Slappin in the Trunk', ""Still Feelin' It (feat. Snoop Dogg, G-Eazy, Keak Da Sneak, Iamsu!, Nef The Pharaoh & Ezale) - Remix"", 'In My City']"
17836,V,"[""Still Trappin' (with King Von)"", 'Took Her To The O', 'The Code (feat. Polo G)', 'Crazy Story, Pt. 3', 'Armed & Dangerous', 'Rose Gold (feat. King Von)', 'Twin Nem', 'JUMP (feat. Memo600)', 'All These Niggas (feat. Lil Durk)', ""Wayne's Story""]"
9085,King Von,"[""Still Trappin' (with King Von)"", 'Took Her To The O', 'The Code (feat. Polo G)', 'Crazy Story, Pt. 3', 'Armed & Dangerous', 'Rose Gold (feat. King Von)', 'Twin Nem', 'JUMP (feat. Memo600)', 'All These Niggas (feat. Lil Durk)', ""Wayne's Story""]"
14145,Rose,"[""Sweet Child O' Mine"", 'November Rain', 'Paradise City', 'Welcome To The Jungle', ""Knockin' On Heaven's Door"", ""Don't Cry (Original)"", 'Live And Let Die', 'You Could Be Mine', 'Patience', 'Civil War']"
13785,Rhett Akins,"[""That Ain't My Truck"", 'Kiss My Country Ass', 'Drivin\' My Life Away - From ""Black Dog"" Soundtrack', 'I Brake For Brunettes', ""Don't Get Me Started"", 'She Said Yes', 'Friday Night In Dixie', ""That Ain't My Truck - Back Porch Acoustic Version"", ""What They're Talkin' About"", 'Highway Sunrise']"
8835,Kate Smith,"[""They Wait For Us - Director's Cut"", 'They Wait For Us - Progressive Mix', 'See The Sun - Dan Stone Rework', 'See The Sun - Dan Stone Rework', ""I Would've Stayed"", 'They Wait For Us - Radio Edit', 'From Dust To Ground', 'See The Sun - Moonbeam Remix', 'Set to Sail', 'They Wait For Us - Chill Out Mix']"
16825,The Outsiders,"[""Time Won't Let Me"", ""Time Won't Let Me (Re-Recorded / Remastered)"", 'Respectable', ""Time Won't Let Me"", 'Just Let Me Be', ""Time Won't Let Me (New Stereo Mix) [feat. Sonny Geraci]"", 'Pilot', 'Lonely Man', 'Girl In Love', 'Help Me Girl']"
15809,Syleena Johnson,"[""Tonight I'm Gonna Let Go"", 'I Am Your Woman', 'Slowly', 'Guess What', 'More (feat. Anthony Hamilton)', 'Another Relationship', ""Tonight I'm Gonna Let Go (feat. Busta Rhymes, Rampage, Sham & Spliff Star) - The Remix"", 'Hypnotic (feat. R. Kelly & Fabolous)', 'Phone Sex (feat. Twista)', 'Home']"
14601,Scottish National Orchestra,"[""Vremena goda, Op. 67: L'Automne: Petit Adagio"", ""Le rouet d'Omphale, Op. 31"", 'Melodies From Scotland', '3 Small Tone Poems: No. 1. Summer Evening', 'Lieutenant Kijé, Op. 60: II. Romance', 'Adagio for Strings, Op. 11', 'Violin Concerto, Op. 14: II. Andante', '3 Small Tone Poems: No. 3. Spring Morning', 'Lieutenant Kijé, Op. 60: IV. Troika', 'End Title - From ""Star Trek: First Contact""']"
13968,Robert Nickson,"[""We Won't Forget - Arty Remix"", 'Exit (Mixed) - Robert Nickson Remix', 'Twisted By Design (Mixed)', 'Liberate (Mixed)', 'Spiral (Mixed)', 'Motif - Robert Nickson Remix', 'Spiral - Chill Out Mix', 'Heliopause - Original Mix', 'Touchdown - Original Mix', 'Brave - Andy Elliass & Araya Remix']"
