,Artist,Genres,Followers,Popularity
167,AJR,['modern rock'],1740806,82
168,AJZ,['serbian hip hop'],27192042,95
169,AKLO,['j-rap'],75438,67
170,AL!AS,"['melodic metalcore', 'metalcore', 'trancecore', 'uk metalcore']",1191075,74
171,ALI,"['neo soul', 'pop', 'r&b', 'urban contemporary']",1187445,74
172,ALLBLACK,"['cali rap', 'hyphy', 'k-rap', 'west coast trap']",44506,57
173,ALO,"['pop soul', 'r&b']",213768,72
174,ALPHA 9,"['edm', 'progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']",36191,53
175,APB,['scottish new wave'],5019320,93
177,APO Hiking Society,"['classic opm', 'opm']",340779,58
178,APRE,"['english indie rock', 'kent indie']",155137,63
179,ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",158407,65
180,ASIAN KUNG-FU GENERATION,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk']",766510,65
181,ASP,"['deep big room', 'pop edm', 'russian dance']",1573446,77
182,ATB,"['disco house', 'german dance', 'german techno', 'german trance', 'trance']",263021,79
183,AUGUST 08,"['la pop', 'r&b']",1771861,73
184,AURORA,"['art pop', 'norwegian pop']",50,56
185,AVCI,"['karadeniz halk muzigi', 'turkish pop', 'turkish trap pop']",1272110,72
186,AVIRA,"['progressive house', 'progressive trance', 'trance']",5620,53
188,AWOLNATION,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",1906477,69
189,AZ,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",27192042,95
191,Aaliyah,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",2575779,64
194,Aaron Copland,"['american modern classical', 'classical', 'early modern classical']",72223,53
195,Aaron Hall,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",298475,53
197,Aaron Lewis,"['contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck']",503677,63
198,Aaron May,"['rap', 'underground hip hop']",137374,64
199,Aaron Neville,['soul'],84655,59
200,Aaron Shust,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']",170756,51
201,Aaron Smith,['chicago house'],229912,70
202,Aaron Tippin,"['country', 'country road', 'country rock', 'redneck']",408489,53
203,Aaron Tveit,"['broadway', 'hollywood', 'show tunes']",29616,57
204,Aaron Watson,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']",189364,59
205,Aaron Y Su Grupo Ilusion,"['cumbia sonidera', 'ranchera', 'regional mexican']",365881,64
208,Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",790429,63
211,Abby,"['contemporary country', 'country pop']",29165,57
215,Abel Zavala,"['latin christian', 'latin worship']",343314,57
216,Abhi The Nomad,"['desi hip hop', 'vapor soul']",88212,59
218,Above & Beyond,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",647419,68
219,Above The Law,"['g funk', 'gangster rap', 'hip hop', 'hyphy', 'west coast rap']",1177499,64
220,Abracadabra,['musica costarricense'],1912341,71
222,Absofacto,"['indie psych-pop', 'shimmer psych']",102373,65
226,Abuse,['indie punk'],562712,73
229,Academy of Ancient Music,"['baroque ensemble', 'british orchestra', 'choral', 'classical performance', 'historically informed performance']",4008949,79
230,Academy of St. Martin in the Fields,"['british orchestra', 'chamber orchestra', 'classical', 'classical performance']",4008949,79
231,Academy of St. Martin in the Fields Chorus,['choral'],4008949,79
232,Acapulco Tropical,"['cumbia sonidera', 'musica costena', 'ranchera']",198349,53
233,Accademia I Filarmonici,['italian baroque ensemble'],1749719,74
234,Accept,"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']",10080523,91
235,Acceptance,"['christian alternative rock', 'dreamo', 'emo', 'neon pop punk', 'pop punk', 'screamo']",1737,58
236,Ace,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",27192042,95
238,Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1368399,67
241,Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']",468085,67
243,Aceyalone,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']",18558137,87
245,Acid Bath,"['doom metal', 'louisiana metal', 'sludge metal', 'stoner metal']",13711,54
247,Acker Bilk,"['adult standards', 'ballroom', 'brill building pop', 'easy listening', 'jazz clarinet', 'lounge']",24691,51
249,Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']",625189,66
252,Ada,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",6414553,81
257,Adam Calhoun,"['country rap', 'military rap', 'redneck']",240854,65
258,Adam Doleac,"['contemporary country', 'country pop']",26649,61
262,Adam Hicks,"['pop', 'post-teen pop']",39059,57
263,Adam Jensen,"['indie poptimism', 'modern alternative rock', 'modern rock', 'rebel blues']",109722,61
265,Adam K,['canadian electronic'],1481789,78
266,Adam K & Soha,['canadian electronic'],828321,72
267,Adam Lambert,"['dance pop', 'electropop', 'idol', 'pop', 'post-teen pop']",1185426,67
268,Adam Levine,['pop rock'],1222923,78
271,Adam Pascal,"['broadway', 'hollywood', 'show tunes']",14376,55
272,Adam Port,['deep disco house'],49273,54
273,Adam Sandler,"['comedy', 'comic']",5815225,82
