,Artist,Genres,Followers,Popularity
171,ALI,"['neo soul', 'pop', 'r&b', 'urban contemporary']",1187445,74
172,ALLBLACK,"['cali rap', 'hyphy', 'k-rap', 'west coast trap']",44506,57
173,ALO,"['pop soul', 'r&b']",213768,72
174,ALPHA 9,"['edm', 'progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']",36191,53
175,APB,['scottish new wave'],5019320,93
176,APEK,"['pop edm', 'sky room']",6467,46
177,APO Hiking Society,"['classic opm', 'opm']",340779,58
178,APRE,"['english indie rock', 'kent indie']",155137,63
179,ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",158407,65
180,ASIAN KUNG-FU GENERATION,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk']",766510,65
181,ASP,"['deep big room', 'pop edm', 'russian dance']",1573446,77
182,ATB,"['disco house', 'german dance', 'german techno', 'german trance', 'trance']",263021,79
183,AUGUST 08,"['la pop', 'r&b']",1771861,73
184,AURORA,"['art pop', 'norwegian pop']",50,56
185,AVCI,"['karadeniz halk muzigi', 'turkish pop', 'turkish trap pop']",1272110,72
186,AVIRA,"['progressive house', 'progressive trance', 'trance']",5620,53
187,AWOL One,['abstract hip hop'],7072,31
188,AWOLNATION,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",1906477,69
189,AZ,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",27192042,95
190,Aadesh Shrivastava,['modern bollywood'],23548,42
191,Aaliyah,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",2575779,64
192,Aaron Beta,['ghoststep'],58087,47
193,Aaron Carter,"['dance pop', 'post-teen pop']",222435,49
194,Aaron Copland,"['american modern classical', 'classical', 'early modern classical']",72223,53
195,Aaron Hall,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",298475,53
196,Aaron Kwok,"['c-pop', 'cantopop', 'classic cantopop', 'classic mandopop']",58087,47
197,Aaron Lewis,"['contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck']",503677,63
198,Aaron May,"['rap', 'underground hip hop']",137374,64
199,Aaron Neville,['soul'],84655,59
200,Aaron Shust,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']",170756,51
201,Aaron Smith,['chicago house'],229912,70
202,Aaron Tippin,"['country', 'country road', 'country rock', 'redneck']",408489,53
203,Aaron Tveit,"['broadway', 'hollywood', 'show tunes']",29616,57
