,Artist,Genres,Followers,Popularity,Songs
41,311,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",718295,67,"['Amber', 'All Mixed Up', 'Beautiful Disaster', 'Love Song', 'Down', 'Good Feeling', 'Champagne', ""I'll Be Here Awhile"", 'Sunset in July', 'Space and Time']"
42,347aidan,['sad rap'],179136,73,"['Dancing in My Room', 'Demons and Monsters', 'IDWK', 'WHEN THE DEVIL CRIES', 'Be Happy', 'till the sun comes', 'Sunr!se', 'Live How I Want', 'Elevate', ""Don't Go /:""]"
43,38 Special,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",758650,62,"['Caught Up In You', 'Hold On Loosely', 'Second Chance', ""Rockin' Into The Night"", ""If I'd Been The One"", 'Back Where You Belong - Edited Version', ""Chain Lightnin'"", 'Fantasy Girl', 'Back Where You Belong', 'Teacher, Teacher']"
44,3BallMTY,['trival'],85996,53,"['Inténtalo (feat. América Sierra & El Bebeto)', 'Beso Al Aire (feat. América Sierra & Smoky)', 'Quiero Bailar (All Through the Night)', 'La Noche Es Tuya', 'Baile De Amor (feat. Joss Favela)', 'De Las 12 A Las 12', 'Tribal Guarachoso', 'Money Maker - 3BallMTY Remix', 'Tu Carita (feat. Morenito de Fuego)', 'Tequila']"
45,3LAU,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",310144,63,"['Everything', 'Better With You', 'Apocalyptic', 'Tokyo (feat. XIRA)', 'Game Time (feat. Ninja)', 'Touch', 'Into You - 3LAU Remix', 'How You Love Me', 'At Night (with GRABBITZ)', 'Is It Love']"
46,3OH!3,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']",746514,69,"['DONTTRUSTME', 'STARSTRUKK (feat. Katy Perry)', 'My First Kiss (feat. Ke$ha)', ""I'M SO SAD"", 'LONELY MACHINES', 'Dirty Mind', 'Touchin on My', 'Double Vision', 'STARSTRUKK', 'CLAUSTROPHOBIA']"
47,4 Non Blondes,"['new wave pop', 'pop rock']",316224,68,"[""What's Up?"", 'Spaceman', 'Pleasantly Blue', 'Dear Mr. President', 'Morphine & Chocolate', 'Drifting', 'Train', 'Superfly', 'Old Mr. Heffer', 'Calling All The People']"
48,4 Strings,"['bubble trance', 'dutch trance', 'trance', 'uplifting trance', 'vocal trance']",33998,51,"['Take Me Away (Into The Night) - Vocal Radio Mix', 'The Silmarillia - 4 Strings Radio Edit', 'Take Me Away - BLR Remix', 'Take Me Away (Into The Night) - Vocal Mix', 'Diving 2018', 'Take Me Away (2015 Mix)', 'Safe From Harm - Omar Sherif Remix', 'Rewild The World', 'Enough - Radio Edit', 'Diving - Radio Vocal Mix']"
49,42 Dugg,"['detroit trap', 'rap', 'southern hip hop', 'trap']",6742066,93,"['Wants and Needs (feat. Lil Baby)', 'On Me', 'Drip Too Hard (Lil Baby & Gunna)', 'Real As It Gets (feat. EST Gee)', 'We Paid (feat. 42 Dugg)', 'Yes Indeed', 'Errbody', 'The Bigger Picture', 'Close Friends (Lil Baby & Gunna)', 'Emotionally Scarred']"
50,45,['trap soul'],2927545,75,"['Cut the Cord', 'Second Chance', 'DEVIL', '45', 'MONSTERS', 'Sound of Madness', 'State of My Head', 'Diamond Eyes (Boom-Lay Boom-Lay Boom)', 'Simple Man - Acoustic', 'Enemies']"
51,4D,['environmental'],233292,60,"['Clockwork', 'Bloodline', 'Quantum Flux', 'Crash & Burn', '4D', 'Talking Heads', 'Refuge', 'Details Matter', 'Dispossession', 'Freefall']"
52,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']",7351345,84,"['Youngblood', 'Teeth', 'Ghost Of You', 'Who Do You Love', 'Easier', 'She Looks So Perfect', 'Old Me', 'Lie To Me (feat. Julia Michaels)', ""She's Kinda Hot"", 'Amnesia']"
53,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",5019320,93,"['What You Know Bout Love', 'For The Night (feat. Lil Baby & DaBaby)', 'Hello (feat. A Boogie Wit da Hoodie)', 'Dior', 'Mood Swings (feat. Lil Tjay)', 'AP - Music from the film Boogie', 'The Woo (feat. 50 Cent & Roddy Ricch)', 'Invincible', 'Element', 'Got It On Me']"
54,6 Dogs,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']",271958,65,"['Faygo Dreams', 'Saturn', 'When I Was a Baby', 'Starfire (Teen Titans)', 'Off The Gas (feat. Lil Skies)', 'Buttcheeks', 'Beach House', 'Drifting', 'Post Malone', 'Someone']"
55,69,['miami bass'],2060720,79,"[""Summer Of '69"", 'Heaven', '(Everything I Do) I Do It For You', 'Have You Ever Really Loved A Woman?', 'Please Forgive Me', ""When You're Gone"", 'Run To You', 'Straight From The Heart', 'Here I Am - End Title', 'Do I Have To Say The Words?']"
56,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",2855757,91,"['Calling My Phone', 'F.N', 'Headshot (feat. Polo G & Fivio Foreign)', 'Pop Out (feat. Lil Tjay)', 'Sex Sounds', 'Run It Up (feat. Offset & Moneybagg Yo)', 'Leaked', 'Move On - Bonus', 'Zoo York (feat. Fivio Foreign & Pop Smoke)', 'Hold On']"
57,6ix9ine,['emo rap'],5617857,87,"['Swervin (feat. 6ix9ine)', 'Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)', 'Me and My Guitar', 'Drowning (feat. Kodak Black)', 'Look Back at It', 'Jungle', 'Still Think About You', 'Demons and Angels (feat. Juice WRLD)', 'Numbers (feat. Roddy Ricch, Gunna and London On Da Track)', 'My Shit']"
58,7 Skies,['uplifting trance'],1462023,74,"['Kids (feat. MKLA)', 'Scare Me (feat. Karra)', 'Secrets', 'My Best Life (feat. Mike Waters) - Club Mix', 'Around The World (feat. NOUMENN)', 'Power', 'Secrets - Radio Edit', 'Alone (feat. Anjulie & Jeffrey Jey)', 'Do Bad Well (feat. Nevve)', 'Let Me Go (with MKLA)']"
59,702,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",505472,54,"['Where My Girls At', 'Steelo', 'Get It Together', 'I Still Love You', ""You Don't Know"", ""You'll Just Never Know"", 'All I Want', 'Star', 'Gotta Leave', ""Don't Go Breaking My Heart""]"
60,88-Keys,['alternative hip hop'],18064,53,"[""That's Life (feat. Mac Miller & Sia)"", 'Stay Up! (Viagra)', 'M.I.L.F.', ""Ho' is Short for Honey"", 'Dirty Peaches', 'Morning Wood', ""Handcuff 'Em"", 'Close Call', 'Nice Guys Finish Last', 'NEON SIGN']"
61,88GLAM,"['canadian hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",355301,61,"['Lil Boat', 'Bali', 'Urgent Messages', '12', ""It's A Flex (feat. NAV)"", 'Kyrie', 'Cake', 'East to West', 'Purple Baguettes', 'Baby Bro']"
62,88rising,"['asian american hip hop', 'pop']",653374,71,"['La La Lost You - Acoustic Version', 'Midsummer Madness', 'I Love You 3000 II', 'La La Lost You', 'History', 'Indigo', 'Head In The Clouds', 'Walking (feat. Swae Lee & Major Lazer)', 'La Cienega', 'Peach Jam']"
63,8Ball,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']",222951,52,"['Life Goes On', 'Just Like Candy', 'Roll with Me (feat. Faith Evans)', 'Rep Yo City', 'Paid Dues', 'Gangsta Party', 'Bring It Back', ""My Homeboy's Girlfriend"", ""Sho'nuff"", 'Backyard Mississippi']"
64,8Ball & MJG,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",222951,52,"[""You Don't Want Drama"", ""Space Age Pimpin'"", 'Relax and Take Notes (feat. Notorious B.I.G. and Project Pat)', 'Forever', 'Mr. Big', '9 Little Millimeta Boys', 'Pimps', ""Comin' Out Hard"", 'Meal Ticket', 'Friend Or Foe']"
65,90sFlav,['lo-fi beats'],72967,59,"['Call me', 'Wish You Still Felt This Way', 'Fantasy', 'Balmy', 'Ingleside', 'прошлой ночью', 'Sight', 'When I Met You', 'Seven of Nine', ""Southlands 94'""]"
66,98,"['boy band', 'dance pop']",557466,61,"['Put It On', 'Deadly Combination (feat. 2Pac)', 'The Enemy (feat. Fat Joe)', 'MVP', 'Day One (feat. Big L, A.G., Lord Finesse, & O.C.)', '98 Freestyle', 'Street Struck', 'Da Graveyard', 'All Black', '8 Iz Enuff']"
67,98º,"['boy band', 'dance pop']",310973,59,"['I Do (Cherish You)', 'The Hardest Thing', 'My Everything', 'Because of You (Acoustic)', 'Because Of You', 'Invisible Man (Acoustic)', 'True To Your Heart', 'Give Me Just One Night (Una Noche)', 'Invisible Man', 'What Christmas Means To Me']"
68,99 Souls,"['house', 'uk house']",22403,51,"['The Girl Is Mine', 'All My Friends (feat. Tinashe & Chance the Rapper) - 99 Souls Remix', 'Sixteen - 99 Souls Remix', ""The Girl Is Mine (feat. Destiny's Child & Brandy) - Club Mix"", 'Man Down (feat. AlunaGeorge) [99 Souls Remix] [Edit]', 'Tears (feat. Louisa Johnson) - 99 Souls Remix', 'All Cried Out (feat. Alex Newell) - 99 Souls Remix', 'Live Forever (with Cheat Codes) - 99 Souls Remix', ""The Girl Is Mine (feat. Destiny's Child & Brandy) - Crookers Remix"", 'Man Down (feat. AlunaGeorge) - 99 Souls Remix']"
69,999,"['oi', 'pub rock', 'punk']",6046308,88,"['1400 / 999 Freestyle', 'Taking A Walk', 'Tell Me U Luv Me (with Trippie Redd)', 'Blastoff (feat. Juice Wrld & Trippie Redd)', 'Who Needs Love', 'Love Scars', 'PILL BREAKER (feat. blackbear & Machine Gun Kelly)', 'Topanga', '6 Kiss', 'Excitement (feat. PARTYNEXTDOOR)']"
70,9lokknine,['florida rap'],5815225,82,"['Murder On My Mind', 'Suicidal (Remix) [feat. Juice WRLD]', 'Suicidal', 'Mama Cry', 'Mixed Personalities (feat. Kanye West)', '772 Love', ""223's (feat. 9lokknine)"", 'Thugged Out (feat. Kodak Black)', 'Freddy Krueger (feat. Tee Grizzley)', 'Virtual (Blue Balenciagas)']"
71,9th Wonder,"['alternative hip hop', 'boom bap', 'hip hop', 'north carolina hip hop']",144381,61,"['Freeze Tag (feat. Phoelix)', 'Love You Bad (feat. Phoelix)', 'Afro Blue', 'Sleepless Nights (feat. Phoelix)', 'First Responders', 'Freeze Tag (feat. Cordae & Phoelix)', 'LoveKills!!!', 'From My Heart and My Soul (feat. Phoelix)', ""That's Love Ft. Mac Miller & Heather Victoria"", 'The Mighty Tree (feat. Kamasi Washington)']"
72,?uestlove,['philly rap'],1031400,66,"['You Got Me', 'The Seed (2.0)', 'What They Do', 'The Fire', 'Mellow My Man', 'Wake up Everybody (feat. Common & Melanie Fiona)', 'Guns Are Drawn', 'Right On', 'My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) - Rise Up Remix', 'Little Ghetto Boy (feat. Black Thought)']"
