,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Prince Royce,-0.05204926256965849,0.03904475324380558,-0.0057521786862134985,-0.0009873129303616408,-0.08015330632909994,-0.25139923268145614,-0.05285431453566065,-0.00423304892335868,0.04071627314678864,0.17455481825786642,0.04826469399594905,-0.12443347482198559,0.11659439655974785,0.5044031475455022,-0.10455952689441322,0.01727248819088894,0.02811932469802349,0.2759322319991381,0.02396900041539605,0.055218908871067125,0.06445729476539559,0.028240795163596805,-0.22129421773190008,0.08361339256449381,0.15475049860330403,0.02245079704276618,-0.12727743633753683,0.10159851815818616,-0.1322777076534327,-0.15326898009562215,0.2827400126495562,0.2554088710539726,-0.021973916200038388,0.05104377954616494,-0.04488589154288391,-0.05056755644675775,-0.057136061539186656,-0.014975113471502112,-0.338043839683057,0.30013072659433493
Smokepurpp,-0.09964220543954395,0.08544129094035703,-0.27581639374226313,0.20126458448849038,-0.12319332830909004,-0.037563934687775066,0.020419884074573808,0.06985297381930305,0.18141960519267855,-0.16924182173179075,0.08886294609374502,0.16504821615620408,-0.03897738942187026,0.05102548462837402,-0.0003348474331611109,-0.0047320520166541855,0.058140613123309794,-0.023988287447463407,0.15086608611035143,0.04027455260733063,0.018499016216830987,0.030604900531093944,0.027254151346590018,0.05861519432215169,-0.031676836426817484,-0.005100984136860113,0.0036643342560125666,-0.005891058962080177,0.01451026358707206,0.06006772185870048,0.0018924553105859158,0.08771541919629436,-0.018967325240460395,0.10992557022449245,0.27618892888353197,0.17201843506779702,-0.07775901135809105,0.7373415437023126,0.07875521185675459,0.15113314405989492
OMC,0.6074560592268777,0.050109313808368396,-0.2770787849019492,0.3232284943754053,0.025176990804384042,0.016505345945098154,-0.06688162613461185,-0.27529713352412066,-0.035361201590405296,0.10331419372755947,-0.14318976044689563,-0.19434670770599036,-0.01248038330496995,-0.016703617567509422,0.004203773107570911,-0.030769554856707456,-0.04716922481684741,-0.021544778485658233,0.08136726858125189,-0.04128543076988119,0.055491138125357324,-0.08051422395679243,0.23475899412812748,0.04069813557287149,0.028458741818807854,0.021764390385875052,-0.11135065864649178,0.23583330420573323,-0.05390350863624514,-0.06641063809832068,0.1032334009815116,0.01412016607607442,0.01777235253896115,0.21214348705859373,-0.08523169110032393,-0.0060590365879866805,0.0002769785929710143,-0.1252981461151374,0.16498302315484487,0.18469976109651962
B-Legit,-0.17691128261556313,-0.02979693941423618,-0.11211813433687573,0.16937495241195916,0.161812871714121,-0.03528743327828868,-0.06365871551708227,-0.18409667746649577,-0.1312451343014463,0.11052840903714974,0.08394961620788126,0.02394950580567678,-0.027278748329696834,0.06087913892911959,-0.016694138848575072,-0.03132262132337876,-0.01254797959218493,-0.003242083731114892,-0.13910445193595233,-0.32995470128661625,0.1167984924201451,-0.0635683468467677,0.14602569462288306,0.1338141882986705,0.14034793367802006,0.0274095324180033,-0.05203883057635573,0.00579848137067292,-0.007291551798316983,-0.017166953302687943,0.058913115710044095,-0.05093082790163084,-0.06832430311016614,-0.6998811139043369,0.07933976649823184,-0.11697046952624908,-0.14971631471515998,0.02405861731315237,0.1649829640546237,0.1970148349031639
Hi Freq Samples,-0.018165595383200752,-0.20396385975948061,-0.190350073149385,0.018487172549290266,-0.34722464774296363,-0.06361689674583773,-0.2678883806580992,-0.11184331764693735,-0.2754151528605166,0.12694906614849988,-0.16221177787411464,0.22219586567300262,-0.08938258058244804,-0.1622507288753161,0.007065239663493415,0.3594107437574257,0.10444045824311042,0.13850516958158357,0.32676519301888857,-0.07708821989593741,0.09411340837107432,-0.11868159374874032,-0.009012570298200927,0.14286156156196886,0.2061674392263213,-0.08160889797654462,-0.19939250148133672,-0.037890406899331076,0.035077076248853666,-0.19836539673848005,0.08707849530180137,-0.07336686033392392,-0.1244323745551194,-0.1259578919287115,0.09099606280869765,0.023907174614562904,0.04881677025505012,0.037982830809862186,0.08339154265545583,-0.016992736891667855
Burna Boy,-0.2135987552579733,-0.021809282120149504,0.018931236961963128,0.28692954252639963,0.11970093849528678,0.03834959612841012,0.11010536559813831,-0.06243019486576781,-0.09007569554430411,-0.3475671686423531,0.25891514767632345,0.08723828182053113,0.27222961201178086,0.13213012229348875,-0.141371124798341,-0.1403392153938033,-0.11151569039469886,0.13257813373152982,0.024833044954420354,0.0006477453144876262,-0.0894410809881117,0.09431608353388245,0.019739606753092286,0.11652226819354723,-0.031187409568564344,0.007064035589405376,0.09539510387109054,-0.16127765617380005,-0.004860344095592069,-0.13171290363325444,0.23615241649393295,-0.1650824936374402,0.041848112212359005,0.21801933535643225,0.34508934765143034,-0.16374150544706823,-0.02531691272206013,0.2690829128554361,0.09434908981810236,0.17156176824492814
DJ DN³,-0.014098961165779364,-0.1916296668200231,-0.16502100883602563,-0.0032837353921032425,-0.3593818846187921,-0.05172567561096266,-0.23939448957703968,-0.08551485904661232,-0.2918382612873818,0.15064503666260715,-0.17908099433875696,0.21340830445392184,-0.0912415269625213,-0.18139628158318696,0.04545279141914638,0.3414860882704057,0.10876076470775634,0.1551906642611663,0.3210067078091257,-0.09365991975716327,0.059876274387835084,-0.10780699420903929,-0.006422060224628506,0.14960490081709232,0.20342440263607542,-0.0770928861342042,-0.18921688239811357,-0.0681382304856533,0.03808216493089164,-0.23395799785019092,0.10459418487791607,-0.10544671362054422,-0.1277439567405288,-0.11180630003805134,0.07023527364392872,0.01617537488299202,0.047595483164296945,0.03875701696129024,0.06465233576539473,-0.025689685439068157
J Stone,-0.008272178697149565,-0.019799431849885536,0.036508421187653316,0.08890472158576786,-0.2361427118437383,0.17029196942437136,-0.14581925224224632,-0.04104985208564232,-0.014360963243981523,-0.07088932111588783,-0.13018157602422828,-0.12970805596690638,-0.039446819862375034,0.08209874604026385,-0.02967979304232854,-0.054993467202120824,-0.057481422636414765,-0.03784926455407477,0.03695885910505468,-0.05170222357568877,-0.27201177121457704,-0.1653983608898567,-0.045937972678676234,-0.2736585970181537,0.34146007651956584,0.0403233934332727,-0.1024864882263919,-0.16425664616560587,0.02884699714319026,0.08408072943324885,-0.01971278505764481,-0.14064029572249998,-0.01698883540187361,0.12877331827866906,0.11804434772366779,0.3732002504735268,0.08878785808060918,0.48223275400615256,0.11379431544862573,0.19241995471383935
Sin Bandera,-0.09257565347930422,0.13371946431357087,0.03701801522241132,-0.06547108220283629,0.013514583870666437,-0.018650626314009752,-0.011127108377520862,0.09683899443013289,-0.12203802395258112,-0.050467257670155106,-0.0941026438302,0.05035739383620219,-0.08371757824554665,-0.11782855654453728,0.03880298577397555,-0.011954536853122292,-0.002347871554895252,-0.0650104118187243,-0.04461884053552242,-0.03165697015577579,0.0017946145908412162,0.013053697824706598,0.029984686353807893,-0.19921714659940432,0.05294950080499688,0.003371215228452344,0.020404918961544373,-0.07080213882489374,-0.08756246217496085,-0.2317367022896873,0.10964574107485954,0.5074522152441486,0.07370959084456565,-0.04467077436025923,0.0019437400499326437,-0.020235197659924153,0.0006916979927603316,-0.03203144837588981,-0.5653535290211656,0.436882671297012
Styles P,0.06391254825738775,-0.02956041815531238,-0.23925415187959348,-0.12838252157825544,0.32163546925142433,-0.027533132577787084,0.0887953268540984,0.034712919067506676,-0.10231615875672247,0.005691321949404422,0.08871670525105907,0.26800039483558985,0.24865115851000752,0.09729797660998797,0.255199154370116,0.13561089687502437,0.20277549544342954,-0.06301214741819232,-0.28202896126856153,0.4771470532045276,0.15125149402376556,-0.22618945843522853,0.10790557575399813,-0.06443803692151975,0.09598260080473345,0.011148119400881333,-0.09653020666087779,0.04940331205087239,-0.15859376863005117,-0.016890854321061043,0.023583895305737824,-0.038767415889670774,-0.00026920887920021296,-0.06576150358024155,0.1353990795561121,0.10380127475253831,0.17018855694925866,-0.06663465459192411,0.04900714364849196,0.055223202857113574
